P ID,Product ID,Product Type,Quantity,Finished Size,Printed Pages,Stock,Cover,Lamination,1 Working Days,2 Working Days,3-4 Working Days,7-10 Working Days,VAT
49,F100A3SS150sNL,Flyers,100,A3,Single Sided,150gsm Silk,NULL,No lamination,33, £33.00 , £28.00 , £26.00 ,20%
49,F250A3SS150sNL,Flyers,250,A3,Single Sided,150gsm Silk,NULL,No lamination,45, £45.00 , £37.00 , £35.00 ,20%
49,F500A3SS150sNL,Flyers,500,A3,Single Sided,150gsm Silk,NULL,No lamination,57, £57.00 , £49.00 , £46.00 ,20%
49,F1000A3SS150sNL,Flyers,1000,A3,Single Sided,150gsm Silk,NULL,No lamination,90, £90.00 , £78.00 , £73.00 ,20%
49,F2000A3SS150sNL,Flyers,2000,A3,Single Sided,150gsm Silk,NULL,No lamination, £142.00 , £142.00 , £124.00 , £115.00 ,20%
49,F5000A3SS150sNL,Flyers,5000,A3,Single Sided,150gsm Silk,NULL,No lamination, £283.00 , £283.00 , £246.00 , £228.00 ,20%
49,F10000A3SS150sNL,Flyers,10000,A3,Single Sided,150gsm Silk,NULL,No lamination, £511.00 , £511.00 , £444.00 , £422.00 ,20%
49,F15000A3SS150sNL,Flyers,15000,A3,Single Sided,150gsm Silk,NULL,No lamination, £708.00 , £708.00 , £616.00 , £586.00 ,20%
49,F20000A3SS150sNL,Flyers,20000,A3,Single Sided,150gsm Silk,NULL,No lamination, £941.00 , £941.00 , £818.00 , £778.00 ,20%
49,F25000A3SS150sNL,Flyers,25000,A3,Single Sided,150gsm Silk,NULL,No lamination," £1,164.00 "," £1,164.00 "," £1,012.00 ", £962.00 ,20%
49,F100A3DS150sNL,Flyers,100,A3,Double Sided,150gsm Silk,NULL,No lamination, £39.00 , £39.00 , £32.00 , £30.00 ,20%
49,F250A3DS150sNL,Flyers,250,A3,Double Sided,150gsm Silk,NULL,No lamination, £52.00 , £52.00 , £43.00 , £40.00 ,20%
49,F500A3DS150sNL,Flyers,500,A3,Double Sided,150gsm Silk,NULL,No lamination, £79.00 , £79.00 , £68.00 , £63.00 ,20%
49,F1000A3DS150sNL,Flyers,1000,A3,Double Sided,150gsm Silk,NULL,No lamination, £104.00 , £104.00 , £90.00 , £84.00 ,20%
49,F2000A3DS150sNL,Flyers,2000,A3,Double Sided,150gsm Silk,NULL,No lamination, £193.00 , £193.00 , £168.00 , £156.00 ,20%
49,F5000A3DS150sNL,Flyers,5000,A3,Double Sided,150gsm Silk,NULL,No lamination, £345.00 , £345.00 , £300.00 , £278.00 ,20%
49,F10000A3DS150sNL,Flyers,10000,A3,Double Sided,150gsm Silk,NULL,No lamination, £635.00 , £635.00 , £552.00 , £525.00 ,20%
49,F15000A3DS150sNL,Flyers,15000,A3,Double Sided,150gsm Silk,NULL,No lamination, £816.00 , £816.00 , £710.00 , £675.00 ,20%
49,F20000A3DS150sNL,Flyers,20000,A3,Double Sided,150gsm Silk,NULL,No lamination," £1,077.00 "," £1,077.00 ", £936.00 , £890.00 ,20%
49,F25000A3DS150sNL,Flyers,25000,A3,Double Sided,150gsm Silk,NULL,No lamination," £1,326.00 "," £1,326.00 "," £1,153.00 "," £1,096.00 ",20%
49,F100A3SS250sNL,Flyers,100,A3,Single Sided,250gsm Silk,NULL,No lamination, £36.00 , £36.00 , £30.00 , £28.00 ,20%
49,F250A3SS250sNL,Flyers,250,A3,Single Sided,250gsm Silk,NULL,No lamination, £49.00 , £49.00 , £41.00 , £38.00 ,20%
49,F500A3SS250sNL,Flyers,500,A3,Single Sided,250gsm Silk,NULL,No lamination, £68.00 , £68.00 , £59.00 , £55.00 ,20%
49,F1000A3SS250sNL,Flyers,1000,A3,Single Sided,250gsm Silk,NULL,No lamination, £123.00 , £123.00 , £107.00 , £99.00 ,20%
49,F2000A3SS250sNL,Flyers,2000,A3,Single Sided,250gsm Silk,NULL,No lamination, £197.00 , £197.00 , £172.00 , £160.00 ,20%
49,F5000A3SS250sNL,Flyers,5000,A3,Single Sided,250gsm Silk,NULL,No lamination, £490.00 , £490.00 , £426.00 , £395.00 ,20%
49,F10000A3SS250sNL,Flyers,10000,A3,Single Sided,250gsm Silk,NULL,No lamination, £845.00 , £845.00 , £734.00 , £698.00 ,20%
49,F15000A3SS250sNL,Flyers,15000,A3,Single Sided,250gsm Silk,NULL,No lamination," £1,189.00 "," £1,189.00 "," £1,034.00 ", £983.00 ,20%
49,F20000A3SS250sNL,Flyers,20000,A3,Single Sided,250gsm Silk,NULL,No lamination," £1,571.00 "," £1,571.00 "," £1,367.00 "," £1,299.00 ",20%
49,F25000A3SS250sNL,Flyers,25000,A3,Single Sided,250gsm Silk,NULL,No lamination," £1,954.00 "," £1,954.00 "," £1,699.00 "," £1,615.00 ",20%
49,F100A3DS250sNL,Flyers,100,A3,Double Sided,250gsm Silk,NULL,No lamination, £46.00 , £46.00 , £38.00 , £36.00 ,20%
49,F250A3DS250sNL,Flyers,250,A3,Double Sided,250gsm Silk,NULL,No lamination, £58.00 , £58.00 , £48.00 , £45.00 ,20%
49,F500A3DS250sNL,Flyers,500,A3,Double Sided,250gsm Silk,NULL,No lamination, £94.00 , £94.00 , £82.00 , £76.00 ,20%
49,F1000A3DS250sNL,Flyers,1000,A3,Double Sided,250gsm Silk,NULL,No lamination, £141.00 , £141.00 , £122.00 , £113.00 ,20%
49,F2000A3DS250sNL,Flyers,2000,A3,Double Sided,250gsm Silk,NULL,No lamination, £262.00 , £262.00 , £228.00 , £211.00 ,20%
49,F5000A3DS250sNL,Flyers,5000,A3,Double Sided,250gsm Silk,NULL,No lamination, £497.00 , £497.00 , £432.00 , £400.00 ,20%
49,F10000A3DS250sNL,Flyers,10000,A3,Double Sided,250gsm Silk,NULL,No lamination, £897.00 , £897.00 , £780.00 , £741.00 ,20%
49,F15000A3DS250sNL,Flyers,15000,A3,Double Sided,250gsm Silk,NULL,No lamination," £1,228.00 "," £1,228.00 "," £1,068.00 "," £1,015.00 ",20%
49,F20000A3DS250sNL,Flyers,20000,A3,Double Sided,250gsm Silk,NULL,No lamination," £1,765.00 "," £1,765.00 "," £1,535.00 "," £1,459.00 ",20%
49,F25000A3DS250sNL,Flyers,25000,A3,Double Sided,250gsm Silk,NULL,No lamination," £2,188.00 "," £2,188.00 "," £1,903.00 "," £1,808.00 ",20%
49,F100A3SS250sML,Flyers,100,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £54.00 , £54.00 , £45.00 , £42.00 ,20%
49,F250A3SS250sML,Flyers,250,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £88.00 , £88.00 , £73.00 , £68.00 ,20%
49,F500A3SS250sML,Flyers,500,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £138.00 , £138.00 , £120.00 , £111.00 ,20%
49,F1000A3SS250sML,Flyers,1000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £187.00 , £187.00 , £162.00 , £150.00 ,20%
49,F2000A3SS250sML,Flyers,2000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £321.00 , £321.00 , £279.00 , £259.00 ,20%
49,F5000A3SS250sML,Flyers,5000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination, £792.00 , £792.00 , £689.00 , £638.00 ,20%
49,F10000A3SS250sML,Flyers,10000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination," £1,445.00 "," £1,445.00 "," £1,256.00 "," £1,194.00 ",20%
49,F15000A3SS250sML,Flyers,15000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination," £2,088.00 "," £2,088.00 "," £1,815.00 "," £1,725.00 ",20%
49,F20000A3SS250sML,Flyers,20000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination," £2,768.00 "," £2,768.00 "," £2,407.00 "," £2,287.00 ",20%
49,F25000A3SS250sML,Flyers,25000,A3,Single Sided,250gsm Silk,NULL,Matt Lamination," £3,448.00 "," £3,448.00 "," £2,999.00 "," £2,850.00 ",20%
49,F100A3DS250sML,Flyers,100,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £59.00 , £59.00 , £49.00 , £46.00 ,20%
49,F250A3DS250sML,Flyers,250,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £90.00 , £90.00 , £75.00 , £70.00 ,20%
49,F500A3DS250sML,Flyers,500,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £155.00 , £155.00 , £135.00 , £125.00 ,20%
49,F1000A3DS250sML,Flyers,1000,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £196.00 , £196.00 , £170.00 , £158.00 ,20%
49,F2000A3DS250sML,Flyers,2000,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £372.00 , £372.00 , £324.00 , £300.00 ,20%
49,F5000A3DS250sML,Flyers,5000,A3,Double Sided,250gsm Silk,NULL,Matt Lamination, £772.00 , £772.00 , £671.00 , £621.00 ,20%
