P ID,Product ID,Product Type,Quantity,Finished Size,Printed Pages,Stock,Cover,Lamination,1 Working Days,2 Working Days,3-4 Working Days,7-10 Working Days,VAT
49,F100A3SS150sNL,Flyers,100,A3,Single Sided,150gsm Silk,NULL,No lamination,33,33,28,26,20
49,F250A3SS150sNL,Flyers,250,A3,Single Sided,150gsm Silk,NULL,No lamination,45,45,37,35,20
49,F500A3SS150sNL,Flyers,500,A3,Single Sided,150gsm Silk,NULL,No lamination,57,57,49,46,20
49,F1000A3SS150sNL,Flyers,1000,A3,Single Sided,150gsm Silk,NULL,No lamination,90,90,78,73,20
49,F2000A3SS150sNL,Flyers,2000,A3,Single Sided,150gsm Silk,NULL,No lamination,142,142,124,115,20
49,F5000A3SS150sNL,Flyers,5000,A3,Single Sided,150gsm Silk,NULL,No lamination,283,283,246,228,20
49,F10000A3SS150sNL,Flyers,10000,A3,Single Sided,150gsm Silk,NULL,No lamination,511,511,444,422,20
49,F15000A3SS150sNL,Flyers,15000,A3,Single Sided,150gsm Silk,NULL,No lamination,708,708,616,586,20
49,F20000A3SS150sNL,Flyers,20000,A3,Single Sided,150gsm Silk,NULL,No lamination,941,941,818,778,20
49,F25000A3SS150sNL,Flyers,25000,A3,Single Sided,150gsm Silk,NULL,No lamination,1164,1164,1012,962,20
49,F100A3DS150sNL,Flyers,100,A3,Double Sided,150gsm Silk,NULL,No lamination,39,39,32,30,20
49,F250A3DS150sNL,Flyers,250,A3,Double Sided,150gsm Silk,NULL,No lamination,52,52,43,40,20
49,F500A3DS150sNL,Flyers,500,A3,Double Sided,150gsm Silk,NULL,No lamination,79,79,68,63,20
49,F1000A3DS150sNL,Flyers,1000,A3,Double Sided,150gsm Silk,NULL,No lamination,104,104,90,84,20
49,F2000A3DS150sNL,Flyers,2000,A3,Double Sided,150gsm Silk,NULL,No lamination,193,193,168,156,20
49,F5000A3DS150sNL,Flyers,5000,A3,Double Sided,150gsm Silk,NULL,No lamination,345,345,300,278,20
